artist,title,total_album_consumption_millions,album_sales_millions,song_sales,on_demand_audio_streams_millions,on_demand_video_streams_millions
Lil Baby,My Turn,2.632,0.04,366000,3200,717.5
Taylor Swift,folklore,2.205,1.276,281000,1100,52.4
Pop Smoke,Shoot for the Stars Aim for the Moon,2.198,0.106,270000,2700,372.0
The Weekend,After Hours,2.032,0.48,785000,1900,177.5
Juice Wrld,Legends Never Die,1.990,0.301,200000,2400,248.7
Post Malone,Hollywood’s Bleeding,1.895,0.117,642000,2300,216.6
Lil Uzi Vert,Eternal Take,1.860,0.028,95000,2600,176.3
Roddy Ricch,Please Excuse me for Being Antisocial,1.792,0.026,289000,2400,310.5
Harry Styles,Fine Lines,1.522,0.42,517000,1400,99.5
Luke Combs,What You See Is What You Get,1.475,0.184,810000,1500,132.7
